name	year	occupation
Brett Favre	1969	NASCAR team owner,American football player
Brett Jackson	1988	baseball player
Brett Lunger	1945	Formula One driver
Brett Ratner	1969	screenwriter,film director,film producer
Brewster Kahle	1960	computer scientist,entrepreneur,librarian,archivist,digital librarian
Brian Baker	1985	tennis player
Brian Behlendorf	1973	engineer,computer scientist
Brian Benben	1956	stage actor,television actor,film actor
Brian Bilbray	1951	politician,tax advisor,lobbyist
Brian Conrey	1955	mathematician,university teacher
Brian De Palma	1940	screenwriter,film director,film producer,director,film editor
Brian Grazer	1951	screenwriter,businessperson,entrepreneur,television producer,executive producer,film producer
Brian Grazer	1953	screenwriter,businessperson,entrepreneur,television producer,executive producer,film producer
Brian Greene	1963	actor,writer,professor,physicist,mathematician,author,theoretical physicist
Brian Kelly	1976	American football player
Brian Kernighan	1942	writer,engineer,computer scientist,professor,university teacher,programmer
Brian Kobilka	1955	physician,physicist,chemist,university teacher,physiologist,biochemist,biophysicist,crystallographer
Brian Lawton	1965	ice hockey player
Brian Leetch	1968	ice hockey player
Brian P. Roman	2000	astronomer
Brian Paul	2000	engineer,computer scientist,software developer
Brian Schmidt	1967	astronomer,professor,physicist,astrophysicist,university teacher,international forum participant
Brian Teacher	1954	teacher,tennis player
Brian Thompson	1959	screenwriter,actor,film director,film producer,television actor,film actor
Brian Tyler	1972	composer,conductor,musician,film score composer,film producer
Brian Welch	1970	singer,musician,songwriter,guitarist
Briana Banks	1978	pornographic actor,erotic photography model,film actor
Briana Evigan	1986	actor,dancer,film actor
Brianna Love	1985	pornographic actor,stripper,film actor
Bridget Marquardt	1973	actor,socialite,fashion model,model,television actor,film actor
Bridget Moynahan	1971	actor,model,television actor,film actor
Bridget Powers	1980	actor,singer,pornographic actor,television presenter,film actor
Bridget Regan	1982	stage actor,television actor,film actor
Bridget Sloan	1992	artistic gymnast
Bridgette Wilson	1973	actor,singer,songwriter,model,television actor,film actor,beauty pageant contestant
Bridgit Mendler	1992	actor,singer,singer-songwriter,musician,songwriter,voice actor,television actor,film actor,recording artist
Brie Larson	1989	screenwriter,actor,singer,television producer,film director,film producer,director,television actor,film actor
Brigetta Barrett	1990	athletics competitor,high jumper
Brigham Young	1801	prophet,politician,carpenter,theologian
Brigid Bazlen	1944	actor,television presenter,television actor,film actor
Brigid Brannagh	1972	actor,television actor,film actor
Brigitte Horney	1911	stage actor,film actor
Brisa Roché	1976	composer,singer,singer-songwriter,songwriter
Brit Marling	1982	screenwriter,actor,writer,executive producer,film director,film producer,television actor,film actor
Britney Spears	1981	screenwriter,actor,writer,composer,businessperson,singer,record producer,singer-songwriter,perfumer,musician,public figure,songwriter,stage actor,music video director,fashion designer,model,dancer,television actor,film actor,manufacturer,presenter,child singer
Britney Stevens	1985	pornographic actor
Britt Robertson	1990	actor,television actor,film actor
Brittany Andrews	1973	pornographic actor,film director,film producer,model,film actor
Brittany Daniel	1976	actor,model,television actor,film actor
Brittany Murphy	1977	actor,singer,musician,voice actor
Brittany Snow	1986	actor,voice actor,model,television actor,film actor
Brittney Lee Harvey	1990	actor,voice actor,film actor
Brittney Reese	1986	athletics competitor,long jumper
Brittney Skye	1977	actor,pornographic actor,model
Brock Lesnar	1977	mixed martial arts fighter,professional wrestler,American football player
Broderick Crawford	1911	actor,stage actor,television actor,film actor
Brook Lee	1971	model,beauty pageant contestant
Brooke Adams	1949	actor,film director,film producer,television actor,film actor,screenwriter
Brooke Bennett	1980	swimmer
Brooke Burns	1978	actor,television presenter,model,television actor,film actor
Brooke Elliott	1974	actor,stage actor,television actor,film actor
Brooke Haven	1979	actor,pornographic actor,erotic photography model,model,film actor
Brooke Hogan	1988	singer,musician
Brooke Langton	1970	actor,model,television actor,film actor
Brooke Marie Bridges	1991	television actor,film actor
Brooke Shields	1965	writer,stage actor,model,children's writer,television actor,film actor
Brooke Smith	1967	actor,television actor,film actor,dub actor
Brooke Tessmacher	1984	model,professional wrestler,beauty pageant contestant
Brooklyn Decker	1987	actor,model,television actor,film actor
Brooklyn Lee	1989	pornographic actor,erotic photography model
Brownie Mary	1922	HIV/AIDS activist,health activist
Bruce Beutler	1957	scientist,physician,university teacher,geneticist,immunologist
Bruce Bowen	1971	basketball player
Bruce Campbell	1958	screenwriter,actor,writer,camera operator,voice actor,film director,film producer,television actor,film actor
Bruce Eckel	1957	writer,engineer,computer scientist
Bruce Graham	1925	architect
Bruce Jones	1944	screenwriter,comics artist,novelist
Bruce Lee	1940	screenwriter,actor,writer,stunt performer,film director,stunt coordinator,film producer,television actor,film actor,martial artist
Bruce Matthews	1961	American football player
Bruce Nauman	1941	photographer,television producer,sculptor,visual artist,performance artist,printmaker,architectural draftsperson,drawer,installation artist,video artist
Bruce Perens	1950	computer scientist,programmer
Bruce Perens	1958	computer scientist,programmer
Bruce Springsteen	1949	composer,singer,record producer,pianist,musician,songwriter,guitarist,recording artist
Bruce Surtees	1937	cinematographer,cinematographer
Bruce Willis	1955	actor,singer,executive producer,voice actor,film producer,television actor,film actor
Bruno Augenstein	1923	physicist,mathematician
Bruno Bettelheim	1903	writer,psychologist,university teacher,psychoanalyst,philosopher
Bruno Mars	1985	composer,record producer,singer-songwriter,musician,songwriter,multi-instrumentalist,music video director,voice actor,choreographer,dancer
Bruno Nettl	1930	ethnologist,university teacher,anthropologist,musicologist,ethnomusicologist
Bryan Anderson	1986	baseball player
Bryan Clay	1980	athletics competitor
Bryan Cranston	1956	screenwriter,actor,television producer,executive producer,television director,stage actor,voice actor,film director,film producer,director,television actor,film actor
Bryan Danielson	1981	professional wrestler,catch trainer
Bryan Greenberg	1978	actor,composer,cinematographer,singer-songwriter,musician,executive producer,film producer,television actor,film actor
Bryan Konietzko	1975	screenwriter,writer,animator,television producer,musician,art director,animation director,executive producer,film producer
Bryan Konietzko	1976	screenwriter,writer,animator,television producer,musician,art director,animation director,executive producer,film producer
Bryan McCann	1987	American football player
Bryan Shelton	1965	tennis player,tennis coach
Bryan Singer	1965	screenwriter,actor,television producer,executive producer,film director,film producer,film actor
Bryan Smolinski	1971	ice hockey player
Bryce Bayer	1929	physicist,inventor
Bryce Dallas Howard	1981	screenwriter,actor,stage actor,film director,television actor,film actor
Bubba Brooks	1922	saxophonist,jazz musician
Bubba Smith	1945	actor,television actor,film actor,American football player
Buckethead	1969	composer,musician,guitarist,jazz guitarist,banjoist,jazz musician
Buckminster Fuller	1895	scientist,writer,architect,poet,engineer,mathematician,inventor,artist,university teacher,visual artist,philosopher,designer,diarist
Buckshot	1974	singer,musician,rapper
Bud Abbott	1895	comedian,stunt performer,stage actor,voice actor,film producer,television actor,film actor
Bud Abbott	1897	comedian,stunt performer,stage actor,voice actor,film producer,television actor,film actor
Bud Cort	1948	screenwriter,character actor,stage actor,voice actor,film director,film actor
Bud Tingelstad	1928	engineer,racing driver,Formula One driver
Budd Boetticher	1916	screenwriter,film director
Buddy Arnold	1926	saxophonist,jazz musician
Buddy DeSylva	1895	screenwriter,writer,songwriter,film producer
Buddy Holly	1936	composer,singer,record producer,musician,songwriter,guitarist
Buddy Jeannette	1917	basketball player,basketball coach
Buddy Rich	1917	conductor,musician,bandleader,recording artist,jazz drummer
Buddy Stewart	1922	singer,jazz musician
Budge Patty	1924	tennis player
Buffalo Bill	1846	actor,writer,businessperson,military officer,showman,stage actor,circus performer,frontiersman
Buffy Dee	1923	actor,television actor,film actor
Burt Bacharach	1928	composer,conductor,singer,record producer,pianist,musician,songwriter,lyricist,film score composer,music arranger,recording artist
Burt Lancaster	1913	screenwriter,actor,stage actor,film director,film producer,television actor,film actor,acrobat,circus performer
Burt Reynolds	1936	screenwriter,actor,singer,film director,film producer,television actor,American football player
Burton Greene	1937	composer,pianist,instrumentalist,music arranger,jazz musician
Burton L. French	1875	politician,university teacher
Burton M. Cross	1902	politician
Burton Morris	1964	painter
Burton Richter	1931	physicist,university teacher
Burton Y. Berry	1901	diplomat
Bushrod Washington	1762	judge
Busta Rhymes	1972	actor,singer,musician,rapper,film actor
Buster Cooper	1929	jazz musician
Buster Keaton	1895	screenwriter,actor,writer,comedian,stunt performer,mime artist,stage actor,film director,film producer,director,film editor,television actor,film actor
Busy Philipps	1979	screenwriter,actor,writer,television presenter,voice actor,talk show host
Butch Ballard	1918	jazz musician
Butch Buchholz	1940	tennis player
Butch Leitzinger	1969	racing automobile driver
Butch Otter	1942	politician
Butch van Breda Kolff	1922	basketball player,basketball coach
Butler Lampson	1943	engineer,computer scientist,university teacher
Butterfly McQueen	1911	actor,stage actor,dancer,television actor,film actor
Buzz Aldrin	1930	astronaut,businessperson,engineer,fighter pilot,autobiographer,science fiction writer,air force officer
Byard Lancaster	1942	saxophonist,jazz musician
Béla Bartók	1881	composer,teacher,pianist,musician,pedagogue,university teacher,choreographer,entomologist,musicologist,music teacher,ethnomusicologist,collector of folk music
C. Anthony Anderson	1940	university teacher,philosopher
C. B. van Niel	1897	university teacher,mycologist,biochemist,microbiologist
C. F. W. Walther	1811	writer,pastor,theologian,president,editor,university teacher
C. J. Cherryh	1942	writer,translator,novelist,science fiction writer
C. Olin Ball	1893	mathematician,microbiologist
C. Pope Caldwell	1875	judge,lawyer,politician
C. W. Kahles	1878	comics artist
C.F. Theodore Steinway	1825	entrepreneur,piano maker,musical instrument maker
CCH Pounder	1952	actor,character actor,voice actor,television actor,film actor
CM Punk	1978	actor,writer,mixed martial arts fighter,professional wrestler
Cab Calloway	1907	actor,conductor,singer,songwriter,bandleader,stage actor,dancer,jazz musician
Cade McNown	1977	American football player
Cadwallader David Colden	1769	lawyer,politician
Caitlin Leverenz	1991	swimmer
Caitlyn Taylor Love	1994	actor,singer,television actor,film actor
Cal Hubbard	1900	baseball player,American football player
Cal Niday	1914	engineer,racing driver,Formula One driver
Calamity Jane	1852	army scout,frontiersman
Caleb Cushing	1800	judge,writer,lawyer,politician,jurist,diplomat
Caleb Deschanel	1944	cinematographer,television director,film director
Caleb Thomas Winchester	1847	literary scholar
Caleb Walton West	1844	judge,lawyer,politician
Calista Flockhart	1964	stage actor,television actor,film actor
Callie Khouri	1957	screenwriter,writer,playwright,television producer,film director,film producer
Calvin Coolidge	1872	lawyer,politician,statesperson,autobiographer
Calvin Klein	1942	actor,businessperson,fashion designer,designer
Cam Gigandet	1982	actor,television actor,film actor
Cameron Brown	1945	jazz musician
Cameron Crowe	1957	screenwriter,actor,music critic,journalist,film director,film producer,blogger
Cameron Diaz	1972	actor,television producer,executive producer,voice actor,film producer,fashion model,model,television actor,film actor,non-fiction writer
Cameron Richardson	1979	model,television actor,film actor
Camille Guaty	1976	actor,model,television actor,film actor
Camille Guaty	1978	actor,model,television actor,film actor
Camille Paglia	1947	writer,professor,university teacher,art historian,journalist,film critic,literary critic,essayist
Campbell P. White	1787	politician
Camryn Manheim	1961	actor,voice actor,television actor,film actor
Candace Bushnell	1958	writer,columnist,journalist,novelist,essayist
Candace Parker	1986	actor,basketball player
Candice Bergen	1946	photographer,writer,television producer,television presenter,photojournalist,stage actor,film producer,model,television actor,film actor
Candice King	1987	actor,composer,singer-songwriter,television actor,film actor
Candice Michelle	1978	actor,pornographic actor,model,professional wrestler
Candice Night	1971	writer,poet,singer,songwriter
Candice Wiggins	1987	basketball player
Candy Clark	1947	actor,model,television actor,film actor
Candye Kane	1961	actor,composer,singer,pornographic actor,musician,songwriter,film actor
Cannonball Adderley	1928	composer,conductor,record producer,bandleader,saxophonist,jazz musician
Caprice Bourret	1971	actor,businessperson,television presenter,stage actor,model,television actor,film actor
Carey Lowell	1961	actor,voice actor,model,television actor,film actor
Carl Albert	1908	lawyer,politician
Carl Barks	1901	actor,writer,farmer,animator,illustrator,comics artist,painter,cartoonist,journalist,storyboard artist,comics writer,story artist
Carl Bernstein	1944	writer,biographer,journalist
Carl Clarence Kiess	1887	astronomer
Carl David Anderson	1905	physicist,university teacher
Carl Djerassi	1923	scientist,writer,playwright,chemist,university teacher,collector,science fiction writer
Carl Dreher	1896	engineer,audio engineer
Carl Esmond	1902	stage actor,television actor,film actor
Carl Ferdinand Cori	1896	physician,chemist,researcher,biochemist
Carl Forberg	1911	engineer,racing driver,Formula One driver
Carl Friedrich Zimmermann	1817	musical instrument maker,musical instrument maker
Carl Gustav Hempel	1905	computer scientist,mathematician,university teacher,philosopher,essayist,epistemologist
Carl H. Eigenmann	1863	zoologist,university teacher,full professor
Carl Hewitt	2000	computer scientist,mathematician,university teacher
Carl Joachim Friedrich	1901	political scientist,university teacher
Carl Johnson	1898	athletics competitor
Carl Jules Weyl	1890	art director,production designer
Carl L. Nippert	1852	judge,lawyer,politician
Carl Laemmle	1867	entrepreneur,executive producer,film producer
Carl Lewis	1961	poet,basketball player,sprinter,athletics competitor,long jumper
Carl Macek	1951	screenwriter,television producer,comics artist,casting director,voice actor,film producer
Carl R. Eklund	1909	zoologist,geologist,geographer,ornithologist,explorer
Carl R. de Boor	1937	mathematician,university teacher
Carl Ramos	1902	entrepreneur,editor
Carl Reiner	1922	screenwriter,actor,writer,comedian,television producer,voice actor,film director,film producer
Carl Rogers	1902	psychologist,psychotherapist,non-fiction writer
Carl Sagan	1934	naturalist,screenwriter,writer,physicist,astrophysicist,television presenter,university teacher,cosmologist,science writer,novelist,space scientist,science communicator,non-fiction writer,planetary scientist,science fiction writer,astronomer
Carl Sandburg	1878	screenwriter,writer,poet,historian,biographer,journalist,children's writer,novelist,musicologist,trade unionist
Carl Scarborough	1914	Formula One driver
Carl Schurz	1829	writer,politician,military officer,diplomat,editor,journalist,revolutionary
Carl Tanzler	1877	physician,radiologist
Carl Voss	1907	ice hockey player
Carl W. Ackerman	1890	writer,university teacher,journalist
Carl Weathers	1948	screenwriter,actor,voice actor,film director,film producer,television actor,film actor,American football player,Canadian football player
Carl Wieman	1951	physicist,university teacher,academic,educational theorist
Carl Woese	1928	biologist,university teacher,microbiologist
Carl Zuckmayer	1896	screenwriter,writer,poet,playwright
Carl von Marr	1858	teacher,painter,university teacher
Carl-Alexander von Volborth	1919	artist
Carl-Gustaf Rossby	1898	physicist,mathematician,chemist,university teacher,meteorologist,oceanographer
Carla Bley	1936	composer,conductor,record producer,pianist,bandleader,saxophonist,jazz musician,recording artist
Carla Gugino	1971	actor,stage actor,television actor,film actor
Carla Laemmle	1909	actor,film actor
Carla Meninsky	1950	lawyer,engineer,video game developer
Carlo Tresca	1879	writer,editor,journalist,trade unionist
Carlos Bocanegra	1979	association football player
Carlos Hernández	1971	boxer
Carlos Mendes	1980	association football manager,association football player
Carlos PenaVega	1989	actor,singer,television producer,songwriter,dancer,television actor,film actor,YouTuber
Carlos d'Alessio	1935	composer,film score composer
Carlota Alfaro	1933	fashion designer
Carly Fiorina	1954	businessperson,politician,international forum participant
Carly Gullickson	1986	tennis player
Carly Patterson	1988	singer,musician,artistic gymnast
Carly Rose Sonenclar	1999	actor,singer,television actor,film actor
Carly Schroeder	1990	actor,television actor,film actor
Carly Simon	1943	actor,composer,singer,pianist,musician,songwriter,guitarist,recording artist
Carmel Bodel	1912	figure skater,ice dancer
Carmel Bodel	1928	figure skater,ice dancer
Carmelita Jeter	1979	sprinter,athletics competitor
Carmella Bing	1981	pornographic actor
Carmella DeCesare	1982	actor,Playboy Playmate,model,television actor,professional wrestler
Carmelo Anthony	1984	basketball player
Carmen Argenziano	1943	actor,television actor,film actor
Carmen Chaplin	1977	actor,film director,film actor
Carmen Electra	1972	actor,singer,musician,Playboy Playmate,voice actor,model,dancer,television actor,film actor
Carmen Finestra	1947	screenwriter,actor,television producer,film producer
Carmen Hart	1984	pornographic actor
Carmen Hermosillo	1940	writer,poet
Carmen Luvana	1981	actor,pornographic actor,model,film actor
Carmen McRae	1920	actor,singer,pianist,film actor,jazz musician,recording artist
Carmen McRae	1922	actor,singer,pianist,film actor,jazz musician,recording artist
Carmen Twillie	1950	actor,singer,voice actor,television actor,film actor
Carmit Bachar	1974	actor,singer,model,dancer,film actor
Carol Bartz	1948	businessperson,business executive
Carol Browner	1955	lawyer,politician,environmentalist
Carol Burnett	1933	screenwriter,actor,writer,singer,comedian,television presenter,stage actor,voice actor,dancer,television actor,film actor
Carol Channing	1921	entertainer,singer,comedian,musician,stage actor,voice actor
Carol Chomsky	1930	linguist
Carol Gilligan	1936	writer,psychologist,philosopher,women's rights activist,international forum participant
Carol Greider	1961	biologist,biochemist,geneticist,molecular biologist
Carol Heiss	1940	actor,figure skater,figure skating coach
Carol Kane	1952	actor,stage actor,voice actor,television actor,film actor
Carol Lewis	1963	athletics competitor
Carol Mann	1941	golfer
Carol Molnau	1949	politician
Carol Moseley Braun	1947	lawyer,politician,diplomat,prosecutor
Carol Potter	1948	actor,stage actor,television actor,film actor
Carol Shields	1935	writer,poet,biographer,university teacher,novelist,short story writer
Carol Sloane	1937	jazz singer
Carole Caldwell Graebner	1943	tennis player
Carole Fredericks	1952	singer,musician
Carole King	1942	actor,composer,singer,pianist,singer-songwriter,musician,voice actor,television actor,film actor,recording artist
Carole Landis	1919	stage actor,film actor
Carole Lombard	1908	film actor
Carolee Schneemann	1939	photographer,painter,university teacher,graphic artist,choreographer,film director,new media artist,performance artist,installation artist,video artist
Carolina Barco	1951	politician,diplomat
Carolina Herrera	1939	businessperson,fashion designer
Caroline Endres Diescher	1846	engineer,civil engineer
Caroline Harrison	1832	politician,politician,artist,artist
Caroline Kennedy	1957	writer,lawyer,politician,ambassador,diplomat,socialite,journalist
Caroline Lind	1982	rower
Caroline Rhea	1964	screenwriter,comedian,television producer,casting director,voice actor,film producer,film actor,presenter
Caroline Sunshine	1995	singer,television actor,film actor
Caroline Thompson	1956	screenwriter,writer,film director,film producer,novelist
Carolyn Bertozzi	1966	chemist,university teacher,biochemist,academic
Carolyn Cassady	1923	writer,painter
Carolyn Gold Heilbrun	1926	writer,novelist
Carolyn Jones	1930	actor,voice actor,television actor,film actor
Carolyn Porco	1953	astronomer,photographer,planetary scientist
Carolyn S. Shoemaker	1929	astronomer,university teacher
Carolyn Schuler	1943	swimmer
Carolyn Talcott	1941	computer scientist
Carrie Chapman Catt	1859	writer,politician,journalist,peace activist,suffragist,women's rights activist
Carrie Fisher	1956	spokesperson,screenwriter,actor,writer,singer,playwright,script doctor,stage actor,voice actor,film producer,novelist,television actor,film actor
Carrie Prejean	1987	writer,model,beauty pageant contestant
Carrie Preston	1967	stage actor,film director,film producer,television actor,film actor
Carrie Smith	1925	singer,jazz musician
Carrie Snodgress	1945	actor,stage actor,television actor,film actor
Carrie Steinseifer	1968	swimmer
Carrie Underwood	1983	actor,composer,singer,pianist,singer-songwriter,musician,fashion designer,television actor,film actor,recording artist
Carroll A. Campbell, Jr.	1940	politician
Carroll Baker	1931	actor,writer,stage actor,novelist,television actor,film actor
Carson McCullers	1917	screenwriter,writer,poet,playwright,novelist,prosaist
Carsten Lund	1963	computer scientist
Carver Mead	1934	businessperson,engineer,computer scientist,physicist,inventor,electrical engineer,university teacher
Cary Grant	1904	film actor,circus performer,autobiographer,actor,writer,businessperson,comedian,stage actor,film producer
Caryn Davies	1982	rower
Caryn Kadavy	1967	figure skater
Caryn Navy	1953	computer scientist,mathematician,topologist
Casey Abrams	1991	singer,musician
Casey Affleck	1975	screenwriter,actor,stage actor,voice actor,film director,film producer,film editor,television actor,film actor
Casey Jones	1863	train driver
Casey Mitchell	1988	basketball player
Caspar René Gregory	1846	translator,theologian,university teacher,textual criticism of the New Testament,philologist
Cass Elliot	1941	actor,composer,singer,record producer,musician,stage actor,television actor,film actor,recording artist
Cassandra Clare	1973	screenwriter,writer,journalist,film producer,children's writer,novelist
Cassandra Peterson	1951	screenwriter,singer,comedian,television presenter,dancer,television actor,film actor
Cassandra Potter	1981	curler
Cassandra Steen	1980	singer,voice actor
Cassandra Wilson	1955	songwriter,songwriter,jazz musician,jazz musician,recording artist,recording artist,jazz singer,jazz singer
Cassidey	1980	actor,pornographic actor
Cassidy Freeman	1982	actor,singer,musician,television actor,film actor
Cassie Bernall	1981	high school student
Cassie Scerbo	1990	actor,singer,musician,voice actor,model,dancer,television actor,film actor
Cassie Ventura	1986	actor,singer,musician,model,film actor
Cassin Young	1894	military officer,submariner
Cassius Fairchild	1829	businessperson,politician
Cat Power	1972	actor,composer,singer,pianist,singer-songwriter,musician,guitarist
Catalina Cruz	1979	pornographic actor,pornographic actor
Cate Blanchett	1969	actor,television producer,stage actor,voice actor,film director,film producer,film actor,international forum participant
Caterina Fake	1969	computer scientist,entrepreneur
Catherine Asaro	1955	writer,physicist,ballet dancer,dancer,novelist,science fiction writer
Catherine Bach	1954	actor,television actor,film actor
Catherine Bell	1968	actor,model,television actor,film actor
Catherine Coleman	1960	scientist,scientist,astronaut,astronaut,engineer,engineer,chemist,chemist,air force officer,air force officer
Catherine Gallagher	1945	journalist,literary critic
Catherine Hardwicke	1955	screenwriter,architect,film director,production designer,film producer,documentary participant
Catherine Hicks	1951	stage actor,television actor,film actor
Catherine Keener	1959	actor,voice actor,film producer,television actor,film actor
Catherine Lucile Moore	1911	screenwriter,writer,novelist,science fiction writer
Catherine O'Hara	1954	screenwriter,actor,singer,songwriter,voice actor,film director,improviser,television actor,film actor
Catherine Opie	1961	photographer,university teacher,academic
Catherine Oxenberg	1961	screenwriter,actor,socialite,film producer,model
Cathy Berberian	1925	composer,singer,translator,musician,opera singer,linguist
Cathy Carr	1954	swimmer
Cathy Hudgins	1944	politician
Cathy Lee Crosby	1944	actor,television actor,film actor,tennis player
Cathy Moriarty	1960	actor,businessperson,voice actor,television actor,film actor
Cathy Podewell	1964	actor,television actor,film actor
Cecil B. DeMille	1881	screenwriter,actor,playwright,stage actor,film director,radio personality,film producer,theatrical director,film editor,film actor
Cecil Green	1919	engineer,motorcycle racer,racing automobile driver,Formula One driver
Cecilia Payne Gaposchkin	1900	astronomer,astrophysicist,university teacher
Cecilia R. Aragon	1960	computer scientist,university teacher,aircraft pilot,academic
Cecily Adams	1958	actor,casting director,film director,television actor,film actor
Cecily von Ziegesar	1970	writer,children's writer,novelist
Cedar Walton	1934	composer,pianist,bandleader,jazz musician
CeeLo Green	1975	actor,composer,singer,record producer,singer-songwriter,rapper,voice actor,film actor,recording artist
Celeste Holm	1917	singer,stage actor,television actor,film actor
Celeste Star	1985	pornographic actor,model
Celia Lovsky	1897	actor,stage actor,television actor,film actor
Celia Weston	1951	actor,stage actor,television actor,film actor
Cenk Uygur	1970	lawyer,politician,television producer,journalist,radio personality,YouTuber
Cerina Vincent	1979	actor,writer,beauty pageant contestant
Chace Crawford	1985	actor,model,television actor,film actor
Chad La Tourette	1988	swimmer
Chad Michael Murray	1981	screenwriter,actor,model,television actor,film actor
Chad Mirkin	1963	chemist,university teacher
Chad Smith	1961	drummer,musician
Chaka Khan	1953	composer,singer,singer-songwriter,jazz musician,recording artist
Chamillionaire	1979	actor,composer,businessperson,singer,record producer,musician,rapper,television actor,film actor
Champion Jack Dupree	1909	singer,singer,pianist,pianist,street artist,street artist,jazz musician,jazz musician
Champion Jack Dupree	1910	singer,pianist,street artist,jazz musician
Chancellor Miller	1993	actor,film actor
Chanda Rubin	1976	tennis player
Chandra Cheeseborough	1959	athletics competitor
Chandra Wilson	1969	television director,stage actor,television actor,film actor
Chanel Iman	1990	model
Channa Horwitz	1932	artist,painter,drawer,conceptual artist
Channing Tatum	1980	actor,voice actor,film director,film producer,model,dancer,television actor,film actor
Charisma Carpenter	1970	actor,model,television actor,film actor
Charlaine Harris	1951	screenwriter,actor,writer,poet,camera operator,film producer,novelist,karateka,crime fiction writer,short story writer
Charlene Barshefsky	1950	lawyer,businessperson,politician,diplomat
Charlene Tilton	1958	actor,singer,stage actor,television actor,film actor
Charles A. Ferguson	1921	university teacher,linguist
Charles A. Floyd	1791	judge,lawyer,politician
Charles A. Kading	1874	lawyer,politician
Charles Allen Moser	1952	physiologist
Charles Anthony Schott	1826	meteorologist
Charles Astor Bristed	1820	writer
Charles Augustus Briggs	1841	writer,librarian,theologian,university teacher
Charles Aurelius Smith	1861	politician
Charles Bachman	1924	engineer,computer scientist
Charles Baker	1839	painter
Charles Barkley	1963	spokesperson,actor,author,announcer,journalist,basketball player,sports analyst
Charles Bigelow	1945	type designer,graphic designer,typographer,university teacher
Charles Billinghurst	1818	lawyer,politician
Charles Bolden	1946	astronaut,airman,test pilot,naval officer
Charles Boyer	1899	television producer,stage actor,film producer,television actor,film actor,screenwriter,actor,singer
Charles Brenton Huggins	1901	surgeon,university teacher,physiologist,oncologist
Charles Bronson	1921	screenwriter,actor,character actor,television actor,film actor
Charles Bruffy	1958	conductor,singer,choir director,voice teacher
Charles Bukowski	1920	screenwriter,actor,writer,poet,author,columnist,journalist,novelist,autobiographer,diarist
Charles Camarda	1952	astronaut
Charles Chaillé-Long	1842	writer,diplomat,explorer
Charles Chilton Moore	1837	editor,newspaper editor
Charles Cioffi	1935	actor,stage actor,television actor,film actor
Charles Clement Johnston	1795	lawyer,politician
Charles Conrad Schneider	1843	engineer,civil engineer
Charles Coughlin	1891	writer,Catholic priest,journalist,radio personality
Charles Crozat Converse	1832	composer,lawyer
Charles Curtis	1860	lawyer,politician,prosecutor
Charles D. Coryell	1912	chemist,university teacher,nuclear physicist
Charles Dana Gibson	1867	illustrator,painter,designer,drawer
Charles Delano	1820	lawyer,politician
Charles Dillon Perrine	1867	astronomer
Charles Duke	1935	astronaut,businessperson,flight instructor,fighter pilot,test pilot,aircraft pilot,air force officer
Charles E. Leiserson	1953	businessperson,engineer,computer scientist,mathematician,university teacher
Charles Eames	1907	architect,filmmaker,graphic artist,film director,production designer,director,designer
Charles Elwood Brown	1834	lawyer,politician,military officer
Charles Ericksen	1875	amateur wrestler
Charles F. McLaughlin	1887	judge,lawyer,politician
Charles F. Wennerstrum	1889	judge,lawyer
Charles Fefferman	1949	mathematician,university teacher
Charles Fey	1862	businessperson,businessperson,inventor,inventor
Charles Follen	1796	writer,writer,poet,poet,university teacher,university teacher
Charles Forgy	1949	computer scientist
Charles Francis Adams, Sr.	1807	writer,lawyer,politician,diplomat
Charles Francis Richter	1900	mathematician,geologist,seismologist,full professor
Charles Frédéric Girard	1822	physician,zoologist,biologist,ichthyologist,herpetologist
Charles G. Dawes	1865	writer,composer,lawyer,politician,economist,diplomat,pianist,songwriter,banker,journalist
Charles Goldfarb	1969	engineer,computer scientist
Charles Goodyear	1800	businessperson,engineer,inventor,chemist
Charles Greeley Abbot	1872	astronomer,astrophysicist
Charles Griffin	1825	military officer
Charles Gwathmey	1938	architect,university teacher
Charles H. Henry	1937	physicist,inventor
Charles H. Moore	1938	computer scientist,physicist,inventor,programmer
Charles H. Schneer	1920	film producer
Charles Hallgarten	1838	banker
Charles Hard Townes	1915	physicist,inventor,university teacher,nuclear physicist
Charles Henderson	1860	politician
Charles Henry Bennett	1943	computer scientist,physicist,cryptographer,theoretical physicist
Charles Henry Hitchcock	1836	geologist,university teacher,botanist
Charles Herbert Allen	1848	politician
Charles Ives	1874	composer,actuary,musician
Charles J. Colden	1870	politician
Charles J. Kersten	1902	lawyer,politician
Charles J. Pedersen	1904	chemist,researcher
Charles K. Kao	1933	scientist,engineer,entrepreneur,physicist,inventor,electrical engineer,university teacher,academic,executive
Charles Kimball Fletcher	1902	politician,swimmer
Charles Knowlton	1800	writer,physician
Charles Korvin	1907	stage actor,television actor,film actor
Charles L. Stevenson	1908	university teacher,philosopher,analytic philosopher
Charles Laughton	1899	screenwriter,actor,writer,stage actor,film director,film producer,theatrical director,director,television actor,film actor
Charles Lewis Gazin	1904	paleontologist,paleobiologist
Charles Lieb	1852	politician
Charles Lindbergh	1902	writer,engineer,inventor,fighter pilot,aircraft pilot,peace activist,autobiographer,diarist,air force officer
Charles Loewner	1893	mathematician,university teacher
Charles M. Dale	1893	lawyer,politician
Charles M. Schulz	1922	screenwriter,writer,artist,illustrator,comics artist,cartoonist,journalist,ice hockey player
